                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3559,                 1.9172,                 1.7019,                0.40852,                0.33609,                0.30462,                0.13615,                 2.0879,                 3.5887,                 2.5946,             0.00055446,             0.00055446,             0.00055446
                      2,                 1.4791,                 1.9465,                 1.8141,                0.55004,                0.25344,                0.25737,                0.13213,                 2.0005,                 2.5302,                 2.5435,              0.0010787,              0.0010787,              0.0010787
                      3,                 1.4146,                 1.8481,                 1.7612,                0.55024,                0.37741,                0.40953,                0.22407,                 1.7923,                 2.2058,                 2.2762,              0.0015716,              0.0015716,              0.0015716
                      4,                 1.3301,                 1.7147,                 1.6904,                 0.6076,                0.34977,                0.42649,                0.25067,                  1.654,                 2.0337,                 2.1124,              0.0015255,              0.0015255,              0.0015255
                      5,                 1.2299,                 1.5434,                 1.6108,                0.52098,                0.44353,                0.46947,                0.27929,                 1.6343,                 1.8855,                 2.0481,              0.0014784,              0.0014784,              0.0014784
                      6,                 1.1908,                 1.4545,                 1.5782,                0.57892,                0.40771,                0.47852,                0.29336,                 1.5712,                 1.8045,                 1.9972,              0.0014312,              0.0014312,              0.0014312
                      7,                 1.1489,                  1.374,                 1.5382,                0.63905,                0.44871,                0.53801,                0.34893,                 1.4538,                 1.5983,                 1.8539,              0.0013841,              0.0013841,              0.0013841
                      8,                 1.1204,                 1.3172,                 1.5083,                  0.706,                0.44322,                0.54954,                0.33919,                 1.4844,                  1.585,                 1.8875,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.0862,                 1.2713,                 1.4833,                0.72672,                0.49587,                0.60147,                0.38135,                 1.4037,                 1.5303,                 1.8075,              0.0012898,              0.0012898,              0.0012898
                     10,                  1.054,                 1.2066,                 1.4579,                0.74805,                0.51528,                 0.6339,                 0.4113,                 1.4079,                 1.4061,                 1.8357,              0.0012426,              0.0012426,              0.0012426
                     11,                 1.0537,                  1.188,                 1.4518,                0.63235,                0.52121,                0.60102,                0.38492,                 1.3834,                 1.4963,                 1.7791,              0.0011955,              0.0011955,              0.0011955
